MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,Gender
-181.23938,115.67254,-53.45367,87.99386,-29.563145,0.811776,2.8609607,-32.431656,5.182431,-14.456664,-12.011609,-15.288642,-5.07905,-4.1081014,-13.170902,2.165938,-2.0376189,2.0000648,-5.168336,-11.94132,331.9724559264591,0.132720947265625,0
-202.61264,146.32826,-84.61432,45.784184,-21.953497,-23.536566,1.5697201,-10.904156,18.277412,-4.632212,-16.315578,-11.007503,-7.6296773,-12.001743,-10.621889,-1.7728038,-14.324638,-0.35838947,-0.3893795,-12.272823,320.3610790147605,0.084381103515625,0
-248.83813,168.79973,-8.440004,7.8663898,-23.602352,-5.3406906,-12.047409,-40.49786,0.3609581,-9.675154,-21.946915,-8.611521,-12.876921,-2.7080474,-14.102528,-19.964848,-6.4380136,-16.37941,-18.074999,-12.186744,306.2110911792533,0.035736083984375,0
-165.7851,123.57467,-48.3145,51.19355,-26.348568,-28.32524,4.5455847,-15.187662,10.362426,-14.545792,-11.166807,-0.16315192,-24.042667,-8.906088,-9.48893,-7.5649195,-5.8260517,-14.957455,0.25879663,-4.9557176,322.84041040831374,0.052825927734375,0
-231.95499,179.43227,-47.757156,28.497257,-14.184534,-9.7088785,-15.819055,-45.236473,-2.2698581,-11.124861,-8.283634,-11.354889,-14.442578,11.494276,-20.344252,-8.53393,8.843381,-23.095015,0.27502072,5.488039,190.64031635879303,0.049652099609375,1
-215.2769,161.80609,-41.10238,35.892586,-31.870361,-27.146,-15.289495,-17.355629,1.8928444,-25.216331,-5.2568736,-2.371567,-7.8874593,-0.074267864,-11.964648,-2.5606446,-7.5743904,-4.575983,-0.8292912,-10.237629,244.5985647537488,0.06011962890625,0
-223.0227,211.01907,-55.33639,25.800804,-17.478024,-22.1521,-6.789031,-43.437855,-3.3076682,-8.806612,-19.528923,-1.0053648,-9.437067,3.7942328,-15.31693,-20.8378,7.854829,-12.479487,-9.427324,3.8625984,186.68215555978048,0.054443359375,1
-163.73038,192.22858,-54.924583,48.10179,-36.377647,-10.530862,20.05991,-27.370852,8.488435,-6.186504,-10.479031,4.1701136,-3.807136,1.2413844,-6.4568043,1.9971898,-2.331255,-9.01568,4.409649,-6.322506,126.89383299230904,0.08892822265625,1
-217.65543,153.28317,-11.534588,75.79677,-7.7216444,-1.9979947,18.502476,-20.011967,4.105072,-10.850039,-13.139215,-1.9292403,-12.628468,-2.2753413,-0.10177493,0.7940519,1.5837069,-3.8686936,-7.455269,-7.815655,151.63004461675004,0.0595703125,1
-267.8807,179.33496,-26.54712,26.73759,-0.052390397,-2.521348,4.1926045,-23.30622,-6.431635,-6.761849,-6.0359573,-3.977766,-17.653713,-7.5530286,-3.7794483,-8.018134,0.007762015,-0.12587942,-9.182688,-8.643751,211.4589169501696,0.04107666015625,1
-205.18991,195.67825,-24.577343,43.051765,-21.72784,-2.19699,10.90789,-37.062283,7.0146646,-4.3200073,-17.900673,8.090702,-1.4685649,-6.637554,-10.979118,-2.7529297,-0.24475051,-12.778079,-4.3045163,-4.1888895,133.11137477933613,0.04681396484375,1
-173.90637,182.83063,-55.955803,58.132275,-19.92065,0.9157684,34.975555,-15.641367,4.1308517,-9.51207,-2.466495,0.49466348,-16.349712,5.3212433,-8.111189,-10.010483,2.531493,-5.128009,4.9311,5.0387278,147.23705458492466,0.059356689453125,1
-201.03867,170.02243,-43.927486,52.959373,-4.4446445,-2.1105576,-7.693682,-33.63224,3.6377754,-9.584543,1.9200264,-5.793891,-16.01569,13.455784,-10.177027,-13.744712,5.2039223,-5.903331,-7.052767,-2.17883,170.75310752230047,0.03741455078125,1
-221.95517,157.54628,-15.72304,52.55995,-22.508064,-43.164536,10.069708,-15.855642,-10.819159,-2.917075,-15.15281,-8.538504,-8.963671,-7.123083,-6.579067,-7.8477464,-8.367439,-9.472282,-2.0554004,-5.559808,338.2331752327364,0.043670654296875,0
-245.76222,146.17032,-50.49951,56.547173,-4.004784,-4.934709,14.510862,-9.831572,16.060684,-7.595725,-3.8449578,6.523322,-12.028419,4.9153247,4.228125,0.55088484,0.03218341,-4.3160067,4.1367536,0.16735482,68.75538126962859,0.1658935546875,1
